rank,team,Grp,Elo,R32,R16,QF,SF,Final,Winner
1,Argentina,J,1873,94.5,59.8,40.9,26.9,17.1,10.5
2,France,I,1870,93.5,65.4,43.0,27.9,16.9,10.4
3,Spain,H,1877,95.4,62.1,40.6,27.1,16.6,10.2
4,England,L,1834,91.5,61.0,38.8,24.2,14.7,8.4
5,Portugal,K,1760,88.5,53.0,30.7,17.3,9.3,4.7
6,Brazil,C,1760,86.9,51.0,29.8,16.7,8.4,4.5
7,Netherlands,F,1756,86.3,48.3,28.5,15.8,8.3,4.3
8,Belgium,G,1730,87.0,51.3,28.2,14.4,7.4,3.8
9,Morocco,C,1736,84.2,48.7,27.6,14.6,7.6,3.7
10,Germany,E,1724,89.6,51.1,26.5,14.2,7.4,3.6
11,Croatia,L,1716,81.6,46.4,25.1,13.2,6.5,3.4
12,Italy,B,1702,84.4,49.6,25.7,12.5,6.2,3.1
13,Senegal,I,1706,79.1,46.4,24.7,13.0,6.8,3.0
14,Mexico,A,1675,78.9,44.8,21.8,10.6,5.1,2.6
15,Colombia,K,1701,83.2,44.7,24.0,12.4,5.9,2.5
16,USA,D,1681,80.6,44.3,21.9,10.5,5.2,2.2
17,Uruguay,H,1672,80.8,38.6,19.6,9.8,4.6,1.9
18,Switzerland,B,1654,78.0,42.9,20.6,9.6,4.2,1.9
19,Japan,F,1650,74.6,36.9,18.7,8.5,3.5,1.6
20,Iran,G,1617,74.2,36.5,17.0,7.2,3.2,1.4
21,Denmark,A,1616,71.4,36.9,16.5,7.0,3.1,1.2
22,South Korea,A,1599,68.3,34.0,15.1,6.3,2.5,1.0
23,Ecuador,E,1591,77.4,34.7,14.3,5.8,2.5,0.9
24,Egypt,G,1556,65.5,29.3,12.3,4.8,1.9,0.7
25,Austria,J,1585,66.1,27.1,12.3,5.4,2.2,0.7
26,Canada,B,1559,64.9,29.9,12.6,4.7,1.8,0.7
27,Turkey,D,1582,66.7,31.5,13.4,5.5,2.2,0.7
28,Australia,D,1574,65.8,30.4,13.2,5.4,2.0,0.7
29,Ukraine,F,1557,59.8,24.6,10.5,4.3,1.7,0.6
30,Panama,L,1539,53.5,23.0,9.3,3.9,1.5,0.6
31,Algeria,J,1560,62.4,24.6,11.2,4.5,1.6,0.6
32,Norway,I,1553,55.2,25.5,10.7,4.1,1.6,0.5
33,Paraguay,D,1528,58.1,24.9,9.8,3.5,1.1,0.5
34,Scotland,C,1533,53.4,21.2,8.6,3.0,1.1,0.4
35,South Africa,A,1512,53.5,22.5,8.7,2.8,0.9,0.3
36,Uzbekistan,K,1489,50.9,17.9,7.2,2.4,0.8,0.2
37,Haiti,C,1470,42.6,15.5,5.5,1.9,0.8,0.2
38,Qatar,B,1434,42.8,15.6,5.0,1.6,0.6,0.2
39,Jordan,J,1427,39.1,12.2,4.1,1.1,0.4,0.2
40,Tunisia,F,1498,47.9,18.0,6.5,2.4,0.9,0.2
41,Cote d'Ivoire,E,1467,56.5,20.0,7.0,2.5,0.7,0.2
42,Saudi Arabia,H,1500,53.5,19.2,7.0,2.7,0.9,0.2
43,Curacao,E,1382,42.1,12.7,3.5,1.0,0.3,0.1
44,New Zealand,G,1440,42.1,15.1,4.7,1.6,0.5,0.1
45,Ghana,L,1460,38.2,14.0,4.9,1.6,0.4,0.1
46,Iraq,I,1450,36.1,13.7,4.7,1.5,0.5,0.1
47,DR Congo,K,1450,43.5,14.8,5.0,1.6,0.5,0.1
48,Cabo Verde,H,1360,30.1,8.2,2.4,0.6,0.1,0.0
